FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187b3d87864_3a8f,5334002,1245,Engelbertstraße
strassennamen.fid--3213a59_187b3d87864_3a90,5334002,1247,Entenfeld
strassennamen.fid--3213a59_187b3d87864_3a91,5334002,1248,Entenpfuhler Weg
strassennamen.fid--3213a59_187b3d87864_3a92,5334002,1250,Erckensstraße
strassennamen.fid--3213a59_187b3d87864_3a93,5334002,1252,Erlenweg
strassennamen.fid--3213a59_187b3d87864_3a94,5334002,1253,Eselsweg
strassennamen.fid--3213a59_187b3d87864_3a95,5334002,1258,Europadorf
strassennamen.fid--3213a59_187b3d87864_3a96,5334002,1259,Europaplatz
strassennamen.fid--3213a59_187b3d87864_3a97,5334002,1260,Eynattener Straße
strassennamen.fid--3213a59_187b3d87864_3a98,5334002,1261,Feldchen
strassennamen.fid--3213a59_187b3d87864_3a99,5334002,1262,Feldstraße
strassennamen.fid--3213a59_187b3d87864_3a9a,5334002,1264,Felix-Timmermans-Straße
strassennamen.fid--3213a59_187b3d87864_3a9b,5334002,1266,Fichtestraße
strassennamen.fid--3213a59_187b3d87864_3a9c,5334002,1267,Fichthang
strassennamen.fid--3213a59_187b3d87864_3a9d,5334002,1268,Fischmarkt
strassennamen.fid--3213a59_187b3d87864_3a9e,5334002,1270,Flandrische Straße
strassennamen.fid--3213a59_187b3d87864_3a9f,5334002,1272,Fliederweg
strassennamen.fid--3213a59_187b3d87864_3aa0,5334002,1274,Försterstraße
strassennamen.fid--3213a59_187b3d87864_3aa1,5334002,1276,Forster Linde
strassennamen.fid--3213a59_187b3d87864_3aa2,5334002,1277,Forster Weg
strassennamen.fid--3213a59_187b3d87864_3aa3,5334002,1278,Frankenberger Straße
strassennamen.fid--3213a59_187b3d87864_3aa4,5334002,1279,Frankenstraße
strassennamen.fid--3213a59_187b3d87864_3aa5,5334002,1280,Franziskusweg
strassennamen.fid--3213a59_187b3d87864_3aa6,5334002,1281,Frans-Masereel-Straße
strassennamen.fid--3213a59_187b3d87864_3aa7,5334002,1284,Freunder Weg
strassennamen.fid--3213a59_187b3d87864_3aa8,5334002,1286,Aretzstraße
strassennamen.fid--3213a59_187b3d87864_3aa9,5334002,1287,Friedlandstraße
strassennamen.fid--3213a59_187b3d87864_3aaa,5334002,1288,Friedrich-Ebert-Allee
strassennamen.fid--3213a59_187b3d87864_3aab,5334002,1289,Friedrichstraße
strassennamen.fid--3213a59_187b3d87864_3aac,5334002,1290,Friedrich-Wilhelm-Platz
strassennamen.fid--3213a59_187b3d87864_3aad,5334002,1292,Friesenstraße
strassennamen.fid--3213a59_187b3d87864_3aae,5334002,1294,Fringsgraben
strassennamen.fid--3213a59_187b3d87864_3aaf,5334002,1296,Fuchserde
strassennamen.fid--3213a59_187b3d87864_3ab0,5334002,1298,Gartenstraße
strassennamen.fid--3213a59_187b3d87864_3ab1,5334002,1299,Gasborn
strassennamen.fid--3213a59_187b3d87864_3ab2,5334002,1300,Gerhart-Hauptmann-Straße
strassennamen.fid--3213a59_187b3d87864_3ab3,5334002,1301,Gemmenicher Weg
strassennamen.fid--3213a59_187b3d87864_3ab4,5334002,1302,Geschwister-Scholl-Straße
strassennamen.fid--3213a59_187b3d87864_3ab5,5334002,1303,Schumacherstraße
strassennamen.fid--3213a59_187b3d87864_3ab6,5334002,1304,Gerlachstraße
strassennamen.fid--3213a59_187b3d87864_3ab7,5334002,1305,Glatzer Straße
strassennamen.fid--3213a59_187b3d87864_3ab8,5334002,1306,Giselastraße
strassennamen.fid--3213a59_187b3d87864_3ab9,5334002,1307,Gleiwitzer Straße
strassennamen.fid--3213a59_187b3d87864_3aba,5334002,1310,Prager Ring
strassennamen.fid--3213a59_187b3d87864_3abb,5334002,1311,Goethestraße
strassennamen.fid--3213a59_187b3d87864_3abc,5334002,1313,Goldbachstraße
strassennamen.fid--3213a59_187b3d87864_3abd,5334002,1314,Goldberg
strassennamen.fid--3213a59_187b3d87864_3abe,5334002,1315,Gottfriedstraße
strassennamen.fid--3213a59_187b3d87864_3abf,5334002,1318,Gut-Dämme-Straße
strassennamen.fid--3213a59_187b3d87864_3ac0,5334002,1319,Grauenhofer Weg
strassennamen.fid--3213a59_187b3d87864_3ac1,5334002,1320,Gustav-Freytag-Straße
strassennamen.fid--3213a59_187b3d87864_3ac2,5334002,1321,Gregorstraße
strassennamen.fid--3213a59_187b3d87864_3ac3,5334002,1323,Grindelweg
strassennamen.fid--3213a59_187b3d87864_3ac4,5334002,1324,Gulpener Straße
strassennamen.fid--3213a59_187b3d87864_3ac5,5334002,1325,Großkölnstraße
strassennamen.fid--3213a59_187b3d87864_3ac6,5334002,1327,Grüneck
